incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
822646479,C17051143,6/20/2017 12:00,"FRAUD, BAD CHECKS","FRAUD, BAD CHECKS",,10700 Block 18 AV SW,,SEATTLE,WA,98146,,47.5070819,-122.3577567,10/19/2017 5:31,11/16/2017 6:32,POINT (-122.3577567 47.5070819),12,Tuesday,Property Crime
822646476,C17702805,9/1/2017 9:00,VANDALISM OVER $1500,VANDALISM OVER $1500,,7200 Block 134TH CT SE,,NEWCASTLE,WA,98059,,47.5378317,-122.1610636,10/19/2017 5:31,11/16/2017 6:32,POINT (-122.1610636 47.5378317),9,Friday,Property Crime
822646431,C17702809,10/2/2017 14:25,IDENTITY THEFT,IDENTITY THEFT,,28000 Block MAPLE RIDGE WAY SE,,MAPLE VALLEY,WA,98038,,47.3511656,-122.0073415,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.0073415 47.3511656),14,Monday,Property Crime
822646401,C17702801,10/4/2017 10:25,"LARCENY, TFB","LARCENY, TFB",,25800 Block 164TH AVE SE,,COVINGTON,WA,98042,,47.370635,-122.120278,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.120278 47.370635),10,Wednesday,Theft
822646382,C17051167,10/9/2017 1:20,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,11600 Block AMBAUM BLVD,,BURIEN,WA,98146,,47.4991098,-122.3550479,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.3550479 47.4991098),1,Monday,Property Crime
822646378,C17702804,10/10/2017 10:35,IDENTITY THEFT,IDENTITY THEFT,,3700 Block 246TH AVE SE,,SAMMAMISH,WA,98029,,47.5760704,-122.0135972,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.0135972 47.5760704),10,Tuesday,Property Crime
822732813,C17051130,10/11/2017 4:00,"LARCENY, NSC","LARCENY, NSC",,4600 Block S 188 ST,,SEATAC,WA,98188,,47.4343104,-122.2747765,10/20/2017 5:30,11/16/2017 6:32,POINT (-122.2747765 47.4343104),4,Wednesday,Theft
822732807,C17051210,10/13/2017 18:00,VANDALISM OVER $1500,VANDALISM OVER $1500,,27000 Block 176 PL SE,,COVINGTON,WA,98042,,47.3597473,-122.1066463,10/20/2017 5:30,11/16/2017 6:32,POINT (-122.1066463 47.3597473),18,Friday,Property Crime
823444497,C17051311,10/13/2017 21:00,"VIOLATION OF COURT ORDERS, (FELONY)","VIOLATION OF COURT ORDERS, (FELONY)",,10600 Block 3 AV SW,,SEATTLE,WA,98146,,47.508605,-122.3379415,10/24/2017 5:30,11/16/2017 6:32,POINT (-122.3379415 47.508605),21,Friday,Other
822646349,C17051128,10/13/2017 22:30,"ASSAULT, HANDGUN","ASSAULT, HANDGUN",,19500 Block FREMONT AV N,,SHORELINE,WA,98133,,47.7705162,-122.3512752,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.3512752 47.7705162),22,Friday,Assault with Deadly Weapon
822810942,C17051193,10/14/2017 12:30,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,10700 Block 14 AV SW,,SEATTLE,WA,98146,,47.5071407,-122.3524351,10/21/2017 5:30,11/16/2017 6:32,POINT (-122.3524351 47.5071407),12,Saturday,Property Crime
824360934,C17051172,10/14/2017 17:00,"BURGLARY, RES., F/E","BURGLARY, RES., F/E",,600 Block NW 163 ST,,SHORELINE,WA,98177,,47.7471893,-122.3637404,10/27/2017 5:30,11/16/2017 6:32,POINT (-122.3637404 47.7471893),17,Saturday,Breaking & Entering
822732798,C17051226,10/15/2017 16:30,"ASSAULT, SIMPLE","ASSAULT, SIMPLE",,5500 Block 224 AV NE,,REDMOND,WA,98053,,47.6576288,-122.0411323,10/20/2017 5:30,11/16/2017 6:32,POINT (-122.0411323 47.6576288),16,Sunday,Assault
822946355,C17051789,6/28/2017 0:00,CREDIT CARD/ATM FRAUD,CREDIT CARD/ATM FRAUD,,26000 Block SE ISSAQUAH FALL CITY RD,,ISSAQUAH,WA,98029,,47.5695187,-121.9914471,10/23/2017 5:31,11/19/2017 6:32,POINT (-121.9914471 47.5695187),0,Wednesday,Property Crime
822732792,C17051252,10/16/2017 6:00,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,1400 Block NW RICHMOND BEACH RD,,SHORELINE,WA,98177,,47.7693785,-122.3761067,10/20/2017 5:30,11/16/2017 6:32,POINT (-122.3761067 47.7693785),6,Monday,Property Crime
822646281,C17702807,10/16/2017 12:40,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,1400 Block NW RICHMOND BEACH RD,,SHORELINE,WA,98177,,47.7693785,-122.3761067,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.3761067 47.7693785),12,Monday,Property Crime
827203525,C17056895,1/1/2000 0:00,TRESPASS,TRESPASS,,17100 Block SE 276 ST,,COVINGTON,WA,98042,,47.3545746,-122.1138579,11/22/2017 6:32,11/22/2017 6:32,POINT (-122.1138579 47.3545746),0,Saturday,Property Crime
822646271,C17051183,10/16/2017 16:00,"VIOLATION OF COURT ORDERS, (FELONY)","VIOLATION OF COURT ORDERS, (FELONY)",,27100 Block 185 AV SE,,COVINGTON,WA,98042,,47.3583964,-122.0955644,10/19/2017 5:30,11/16/2017 6:32,POINT (-122.0955644 47.3583964),16,Monday,Other
822732787,C17051122,10/16/2017 17:30,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,19200 Block DES MOINES MEMORIAL DR S,,SEATAC,WA,98148,,47.4311749,-122.3183137,10/20/2017 5:30,11/16/2017 6:32,POINT (-122.3183137 47.4311749),17,Monday,Property Crime
822886231,C17051175,10/16/2017 17:45,"LARCENY, TFB","LARCENY, TFB",,18600 Block 42 AV S,,SEATAC,WA,98188,,47.4355734,-122.2816592,10/22/2017 5:30,11/16/2017 6:32,POINT (-122.2816592 47.4355734),17,Monday,Theft
822646252,C17051125,10/16/2017 20:30,"THEFT, AUTO","THEFT, AUTO",,26100 Block SE 39 WAY,,ISSAQUAH,WA,98029,,47.5744451,-121.9918229,10/19/2017 5:30,11/16/2017 6:32,POINT (-121.9918229 47.5744451),20,Monday,Theft of Vehicle
